Name,Type,Possible values *,Added on,Description,Recommended to set *,Recommended setting *,Notes *,Additional information *,ID,Internal notes *
Sets the internal DNS setting for new projects to Zonal DNS Only,Boolean,"
True, False
Manually updated: 2024-03-26",2020-10,"When set to \`True\`, newly created projects will use Zonal DNS as default. By default, this constraint is set to \`False\` and newly created projects will be using the default DNS type.",Must have,"
Zonal DNS mitigates the risk of cross-regional outages. Google strongly recommends that you
use internal zonal DNS names.
",,,compute.setNewProjectDefaultToZonalDNSOnly,
Data,,,,,,,,,,
Datastream - Block Public Connectivity Methods,Boolean,"
True, False
Manually updated: 2024-03-26",2021-06,"By default, Datastream connection profiles can be created with public or private connectivity methods. If the boolean constraint for this organization policy is enforced, then only private connectivity methods (for example, VPC peering) can be used to create connection profiles.",Should have,,,,datastream.disablePublicConnectivity,
Require Firestore Service Agent for import/export,Boolean,"
True, False
Manually updated: 2024-03-26",2021-08,"This boolean constraint, when enforced, requires Firestore imports and exports to use the Firestore Service Agent. By default, Firestore imports and exports may use the App Engine service account. Firestore will stop using the App Engine service account for imports and exports in the future and all accounts will need to migrate to the Firestore Service Agent, after which time this constraint will no longer be necessary.",Should have,,,,firestore.requireP4SAforImportExport,
Restrict Authorized Networks on Cloud SQL instances,Boolean,"
True, False
Manually updated: 2024-03-26",2019-05,"This boolean constraint restricts adding Authorized Networks for unproxied database access to Cloud SQL instances where this constraint is set to True. This constraint is not retroactive, Cloud SQL instances with existing Authorized Networks will still work even after this constraint is enforced. By default, Authorized Networks can be added to Cloud SQL instances.",Must have,,,"
https://cloud.google.com/sql/docs/mysql/authorize-networks
",sql.restrictAuthorizedNetworks,
Restrict Public IP access on Cloud SQL instances,Boolean,"
True, False
Manually updated: 2024-03-26",2019-05,"This boolean constraint restricts configuring Public IP on Cloud SQL instances where this constraint is set to True. This constraint is not retroactive, Cloud SQL instances with existing Public IP access will still work even after this constraint is enforced. By default, Public IP access is allowed to Cloud SQL instances.",Must have,"
Can be applied on the folder/projects that have sensitive databases that should not have any public IPs.
If an App Engine or Cloud Function from those projects needs to connect to Cloud SQL, you will need to
do it via Serverless VPC Access to connect over private IP because you won't be able to connect to
it via public IP.
",,"
https://cloud.google.com/sql/docs/mysql/connection-org-policy
",sql.restrictPublicIp,
Restrict default Google-managed encryption on Cloud SQL instances,Boolean,"
True, False
Manually updated: 2024-03-26",2023-04,"Note that this constraint is being deprecated and is not recommended to enforce Cloud SQL instances to use CMEK. BETA: This boolean constraint, when set to True, requires all newly created, restarted, or updated Cloud SQL instances to use customer-managed encryption keys (CMEK). It is not retroactive (meaning existing instances with Google-managed encryption are not impacted unless they are updated or refreshed). By default, this constraint is set to False and Google-managed encryption is allowed for Cloud SQL instances.",Could have,,,,sql.disableDefaultEncryptionCreation,
Restrict git remotes for repositories in Dataform,List,,2023-11,"This list constraint defines a set of remotes that repositories in the Dataform project can communicate with. To block communication with all remotes, set the value to Deny all. This constraint is retroactive, and blocks communication for existing repositories that violate it. Entries should be links to trusted remotes, in the same format as provided in Dataform.By default, repositories in Dataform projects can communicate with any remote.",Should have,,,,dataform.restrictGitRemotes,
Disable Cloud Spanner multi-region if no location selected,Boolean,"
True, False
Manually updated: 2024-03-26",2023-08,"Do not configure or modify this policy. This constraint is automatically configured during Assured Workloads onboarding and is only intended for advanced regulatory control for Assured Workloads. This boolean constraint, when enforced, prevents the creation of spanner instances using multi region instance config unless a location is selected. Cloud Spanner today does not yet support selecting location, so all multi regions will be disallowed. In the future, Spanner will provide the functionality for users to select a location for multi regions. Enforcement of this constraint is not retroactive. Spanner instances that have been already created will be unaffected.",Could have,,,,spanner.disableMultiRegionInstanceIfNoLocationSelected,
Enforce in-transit regions for Pub/Sub messages,Boolean,"
True, False
Manually updated: 2024-03-26",2023-11,"This boolean constraint, when enforced, sets MessageStoragePolicy::enforce\_in\_transit to true for all new Pub/Sub topics at creation time. This ensures that Customer Data transits only within the allowed regions specified in the message storage policy for the topic.",Could have,"
Set if data locality is of importance.
",,,pubsub.enforceInTransitRegions,
IAM,,,,,,,,,,
Allow extending lifetime of OAuth 2.0 access tokens to up to 12 hours,List,,2020-01,"This list constraint defines the set of service accounts that can be granted OAuth 2.0 access tokens with a lifetime of up to 12 hours. By default, the maximum lifetime for these access tokens is 1 hour. The allowed/denied list of service accounts must specify one or more service account email addresses.",Could have,,,,iam.allowServiceAccountCredentialLifetimeExtension,
Domain restricted sharing,List,"
List of one or more Cloud Identity or G Suite customer IDs
Manually updated: 2022-09-12",2017-03,"This list constraint defines one or more Cloud Identity or Google Workspace customer IDs whose principals can be added to IAM policies. By default, all user identities are allowed to be added to IAM policies. Only allowed values can be defined in this constraint, denied values are not supported. If this constraint is active, only principals that belong to the allowed customer IDs can be added to IAM policies.You do not need to add the google.com customer ID to this list in order to interoperate with Google services. Adding google.com allows sharing with Google employees and non-production systems, and should only be used for sharing data with Google employees.",Must have,"
This policy is strongly advised. Enforce at the organisation level but be cautious of potential issues.
When this policy is enforced, even if the user has setIamPolicy on the APIs of GCP services, they
won't be allowed to add users of non-authorized domains. This also blocks the exposure of data -
for example a user won't be able to set permission to allUsers or authentificatedUsers in GCS to
make the buckets public.
","
See known issues
for watchpoints when enabling this policy (billing exports to buckets will fail, Cloud Composer needs to use beta features).

Regarding Service Accounts: Only service accounts which belong to your organization will be permitted to be included
in IAM policies. This includes:
  - Default Compute service account
  - Product specific service account (GKE, Dataproc, Dataflow)
  - Custom service accounts

This policy does not expand groups to discern members within groups. If the users are not Workspace users, they can still
be added to a gsuite group and hence be controlled via this policy (in Workspace there can be a restriction of not
adding external users to Workspace groups - in this case you may need to disable this).

If enforced at org level, it may cause issues with Firebase projects.
","
https://cloud.google.com/resource-manager/docs/organization-policy/restricting-domains
",iam.allowedPolicyMemberDomains,
Disable Automatic IAM Grants for Default Service Accounts,Boolean,"
True, False
Manually updated: 2024-03-26",2019-12,"This boolean constraint, when enforced, prevents the default App Engine and Compute Engine service accounts that are created in your projects from being automatically granted any IAM role on the project when the accounts are created. By default, these service accounts automatically receive the Editor role when they are created. To learn about default service accounts, see https://cloud.google.com/iam/help/service-accounts/default. To learn which roles to grant instead of the Editor role, see https://cloud.google.com/iam/help/service-accounts/troubleshoot-roles-default.",Must have,"
Can be enabled on Org level. This will prevent having default GCE service account with very wide permissions - Editor
role on the project, but also all other services that might have too wide permissions. But this also means you need
a high degree of maturity on automation to grant the required permissions to all the service accounts.

By default, when a user enables certain GCP services in their project, such as Compute Engine or App Engine,
a service account is automatically provisioned in that customer project with default IAM bindings.
","
This policy will prevent having default GCE service account with very wide permissions - Editor role on the project,
but also all other services that might have too wide permissions. But this also means you need a high degree
of maturity on automation to grant the required permissions to all the service accounts.
",,iam.automaticIamGrantsForDefaultServiceAccounts,
Disable Audit Logging exemption,Boolean,"
True, False
Manually updated: 2024-03-26",2021-12,"This boolean constraint, when enforced, prevents you from exempting additional principals from audit logging. This constraint does not affect any audit-logging exemptions that existed before you enforced the constraint.",Could have,,,,iam.disableAuditLoggingExemption,
Disable service account creation,Boolean,"
True, False
Manually updated: 2024-03-26",2018-02,"This boolean constraint disables the creation of service accounts where this constraint is set to \`True\`. By default, service accounts can be created by users based on their Cloud IAM roles and permissions.",Could have,"
Apply policy on projects once creation of further default/custom service accounts is not expected to be
needed (eg. once project config reaches a point of stability).
","
This constraint prevents default service accounts from being created.
","
https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts
",iam.disableServiceAccountCreation,
Disable service account key creation,Boolean,"
True, False
Manually updated: 2024-03-26",2018-01,"This boolean constraint, when enforced, disables the creation of service account external keys and Cloud Storage HMAC keys. By default, service account external keys can be created by users based on their Cloud IAM roles and permissions.",Should have,"
Apply this policy on all business unit folders. It is best practice to create the keys only in certain projects
controlled by the security or IT central team. Create exceptions for break glass projects.
",,"
https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts
",iam.disableServiceAccountKeyCreation,
Disable Service Account Key Upload,Boolean,"
True, False
Manually updated: 2024-03-26",202-03,"This boolean constraint disables the feature that allows uploading public keys to service accounts where this constraint is set to \`True\`. By default, users can upload public keys to service accounts based on their Cloud IAM roles and permissions.",Could have,"
Enabling this policy is useful if you manage your service account keys yourself. Enforce at org level to
prevent users from creating arbitrary private keys for service accounts, and losing control over private
key management. Manage by exception for valid use cases.
",,"
https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts#disable_service_account_key_upload
",iam.disableServiceAccountKeyUpload,
Restrict removal of Cross Project Service Account liens,Boolean,"
True, False
Manually updated: 2024-03-26",2020-10,"This boolean constraint, when ENFORCED, prevents users from removing a Cross Project Service Account lien without organization-level permission. By default, any user with the permission to update liens can remove a Cross Project Service Account lien. Enforcing this constraint requires that permission to be granted at the organization level.",Could have,,,,iam.restrictCrossProjectServiceAccountLienRemoval,
Allowed AWS accounts that can be configured for workload identity federation in Cloud IAM,List,,2020-11,List of AWS account IDs that can be configured for workload identity federation in Cloud IAM.,Should have,,,,iam.workloadIdentityPoolAwsAccounts,
Allowed external Identity Providers for workloads in Cloud IAM,List,,2020-06,"Identity Providers that can be configured for workload authentication within Cloud IAM, specified by URI/URLs.",Should have,,,,iam.workloadIdentityPoolProviders,
Service account key expiry duration in hours,List,Manually updated: 2022-08-26,2023-03,"This list constraint defines the maximum duration allowed for service account key expiry. By default, created keys never expire. The allowed duration is specified in hours, and must come from the list below. Only one allowed value can be specified, and denied values are not supported. Specifying a duration not in this list will result in an error. [1h, 8h, 24h, 168h, 336h, 720h, 1440h, 2160h]. To enforce this constraint, you must set it to replace the parent policy in the Cloud Console, or set inheritFromParent=false in the policy file if using the gcloud CLI. This constraint can't be merged with a parent policy. Enforcement of the constraint is not retroactive and will not change pre-existing keys.",Should have,,,,iam.serviceAccountKeyExpiryHours,
Service account key exposure response,List,Manually updated: 2023-10-20,2023-11,"This list constraint defines the response taken if Google detects that a service account linked key is exposed publicly. Keys that are monitored include long-lived service account keys and API keys that are bound to a service account. If not set, defaults to the behavior described for DISABLE\_KEY. The allowed values are DISABLE\_KEY and WAIT\_FOR\_ABUSE. Values not explicitly part of this list cannot be used. Only one allowed value can be specified, and denied values are not supported. Allowing the DISABLE\_KEY value automatically disables any publicly exposed service account key, and creates an entry in the audit log. Allowing the WAIT\_FOR\_ABUSE value opts out of this protection, and does not disable exposed service account keys automatically. However, Google Cloud may disable exposed service account keys if they are used in ways that adversely affect the platform, but makes no promise to do so. To enforce this constraint, set it to replace the parent policy in the Google Cloud Console, or set inheritFromParent=false in the policy file if using the gcloud CLI. This constraint can't be merged with a parent policy. ",Must have,,,,iam.serviceAccountKeyExposureResponse,
Disable service account key creation,Boolean,"
True, False
Manually updated: 2024-10-27",2024-10,"This constraint, when enforced, blocks service account key creation.",Could have,"
This is a managed policy version of an existing policy.
",,,iam.managed.disableServiceAccountKeyCreation,
Disable service account key upload,Boolean,"
True, False
Manually updated: 2024-10-27",2024-10,"This boolean constraint disables the feature that allows uploading public keys to service accounts where this constraint is set to \`True\`. By default, users can upload public keys to service accounts based on their Cloud IAM roles and permissions.",Could have,,,,iam.managed.disableServiceAccountKeyUpload,
Prevent privileged basic roles for default service accounts,Boolean,"
True, False
Manually updated: 2024-12-09",2024-12," When this constraint is enforced, it prevents anyone from granting the Editor role (roles/editor) or the Owner role (roles/owner) to the Compute Engine and App Engine default service accounts, at any time. To learn more about default service accounts, see https://cloud.google.com/iam/help/service-accounts/default. Enforcing this constraint prevents the default service accounts from automatically being granted the Editor role (roles/editor). This might cause permission issues for services that use these service accounts. To learn which roles to grant to each service account, see https://cloud.google.com/iam/help/service-accounts/troubleshoot-roles-default. ",Should have,,,,iam.managed.preventPrivilegedBasicRolesForDefaultServiceAccounts,
Restrict contact domains,Boolean,"
True, False
Manually updated: 2024-12-11",2024-12,"This constraint defines the set of allowed domains that email addresses added to Essential Contacts can have. By default, email addresses with any domain can be added to Essential Contacts. The allowedDomains list must specify one or more domains of the form @example.com. If this constraint is enforced, only email addresses with a suffix matching one of the entries from the list of allowed domains can be added in Essential Contacts. This constraint has no effect on updating or removing existing contacts.",Could have,,,,essentialcontacts.managed.allowedContactDomains,
Restrict allowed policy members in IAM allow policies,Boolean,"
True, False
Manually updated: 2024-12-18",2024-12,"This constraint defines the organization principal sets that can be granted IAM roles in your organization. Specifying an organization principal set allows all identities that are associated with that organization (including Workspace accounts, Workspace groups, service accounts, workforce pool identities, workload pool identities, and service agents) to be granted roles in your organization. Your organization principal set is not automatically allowed, and must be included as an allowed principal set. You can specify individual members using the principal type prefix (for example, \`user:\` or \`serviceAccount:\` to grant them and associated aliases roles in your organization. Enforcing this constraint can block folder resource creation due to automatic Folder Admin and Folder Editor role grants, and can block project resource creation due to automatic Owner role grants.",Should have,,,,iam.managed.allowedPolicyMembers,
Kubernetes Engine,,,,,,,,,,
Disable Workload Identity Cluster Creation,Boolean,"
True, False
Manually updated: 2024-03-26",2019-10,"This boolean constraint, when set to \`True\`, requires that all new GKE clusters have Workload Identity disabled at creation time. Existing GKE clusters with Workload Identity already enabled will continue to work as usual. By default, Workload Identity can be enabled for any GKE cluster.",Could have,,"
If you wish to control all SA creation, this needs to be enabled. However using Workload identity allows more
traceability so it is not recommended turning this policy on. This org policy can be enabled on folders or projects
that absolutely don't need to access Google APIs and use service accounts.
",,iam.disableWorkloadIdentityClusterCreation,"
More details on rationales behind this org policy here: go/gke-wi-org-policy
"
Allowed VPC Service Controls mode for Anthos Service Mesh Managed Control Planes,List,,2021-09,"This constraint determines what VPC Service Controls modes can be set when provisioning a new Anthos Service Mesh Managed Control Plane. Valid values are ""NONE"" and ""COMPATIBLE"".",Could have,,,,meshconfig.allowedVpcscModes,
Load Balancing,,,,,,,,,,
Disable creation of Cloud Armor security policies,Boolean,"
True, False
Manually updated: 2024-03-26",2022-01,"This boolean constraint, when enforced, disables the creation of new global Cloud Armor security policies, and the addition or update of rules to existing global Cloud Armor security policies. This constraint doesn't restrict the removal of rules or the removal, description, or listing of global Cloud Armor security policies. Regional Cloud Armor security policies are unaffected by this constraint. All global and regional security policies that exist prior to the enforcement of this constraint remain in effect. By default, you can create or update Cloud Armor security policies in any organization, folder, or project.",Could have,,,,compute.disableGlobalCloudArmorPolicy,
Disable Global Load Balancing,Boolean,"
True, False
Manually updated: 2024-03-26",2022-01,"This boolean constraint disables creation of global load balancing products. When enforced, only regional load balancing products without global dependencies can be created. By default, creation of global load balancing is allowed.",Could have,,,,compute.disableGlobalLoadBalancing,
Disable Creation of global self-managed SSL Certificates,Boolean,"
True, False
Manually updated: 2024-03-26",2022-01,"This boolean constraint, when enforced, disables creation of global self-managed SSL Certificates. Creation of google-managed or regional self-managed certificates is not disabled by this constraint. By default, you can create global self-managed SSL Certificates in any organization, folder, or project.",Could have,,,,compute.disableGlobalSelfManagedSslCertificate,
Restrict Load Balancer Creation Based on Load Balancer Types,List,"
INTERNAL_TCP_UDP, INTERNAL_HTTP_HTTPS, EXTERNAL_NETWORK_TCP_UDP, EXTERNAL_TCP_PROXY, EXTERNAL_SSL_PROXY, EXTERNAL_HTTP_HTTPS
Manually updated: 2024-03-26",2020-03,"This list constraint defines the set of load balancer types which can be created for an organization, folder, or project. Every load balancer type to be allowed or denied must be listed explicitly. By default, creation of all types of load balancers is allowed. The list of allowed or denied values must be identified as the string name of a load balancer, and can only include values from the list below: [INTERNAL\_TCP\_UDP, INTERNAL\_HTTP\_HTTPS, GLOBAL\_INTERNAL\_MANAGED\_HTTP\_HTTPS, GLOBAL\_INTERNAL\_MANAGED\_TCP\_PROXY, REGIONAL\_INTERNAL\_MANAGED\_TCP\_PROXY, EXTERNAL\_NETWORK\_TCP\_UDP, EXTERNAL\_TCP\_PROXY, EXTERNAL\_SSL\_PROXY, EXTERNAL\_HTTP\_HTTPS, EXTERNAL\_MANAGED\_HTTP\_HTTPS, GLOBAL\_EXTERNAL\_MANAGED\_HTTP\_HTTPS, GLOBAL\_EXTERNAL\_MANAGED\_TCP\_PROXY, GLOBAL\_EXTERNAL\_MANAGED\_SSL\_PROXY]. , REGIONAL\_EXTERNAL\_MANAGED\_TCP\_PROXY To include all internal or all external load balancer types, use the in: prefix followed by INTERNAL or EXTERNAL. For example, allowing in:INTERNAL will allow all load balancer types from the above list that include INTERNAL.",Could have,"
For the projects requiring only internal exposure, limit the list to only internal type load balancers.
",,"
https://cloud.google.com/load-balancing/docs/org-policy-constraints
",compute.restrictLoadBalancerCreationForTypes,"
Internal user guide
"
Disable Enabling Identity-Aware Proxy (IAP) on global resources,Boolean,"
True, False
Manually updated: 2024-03-26",2022-01,"This boolean constraint, when enforced, disables turning on Identity-Aware Proxy on global resources. Enabling IAP on regional resources is not restricted by this constraint. By default, enabling IAP on global resources is allowed.",Could have,,,,iap.requireGlobalIapWebDisabled,
Disable Enabling Identity-Aware Proxy (IAP) on regional resources,Boolean,"
True, False
Manually updated: 2024-03-26",2022-01,"This boolean constraint, when enforced, disables turning on Identity-Aware Proxy on regional resources. Enabling IAP on global resources is not restricted by this constraint. By default, enabling IAP on regional resources is allowed.",Could have,,,,iap.requireRegionalIapWebDisabled,
Marketplace,,,,,,,,,,
Restrict access on marketplace services,List,Manually updated: 2022-08-26,2022-10,"This list constraint defines the set of services allowed for marketplace organizations, and can only include values from the list below: [PRIVATE\_MARKETPLACE, IAAS\_PROCUREMENT]. If the IAAS\_PROCUREMENT is in the allowed value list, the IaaS procurement governance experience is enabled for all products. By default, the IaaS procurement governance experience is turned off. The IAAS\_PROCUREMENT policy works independently from the Request Procurement governance capability, which is specifically for SaaS products listed on Cloud Marketplace.Note: The PRIVATE\_MARKETPLACE value is no longer supported and using it has no effect. To turn on Google Private Marketplace, you must follow the instructions at https://cloud.google.com/marketplace/docs/governance/enable-private-marketplace.",Could have,,,,commerceorggovernance.marketplaceServices,
Disable public marketplace,Boolean,"
True, False
Manually updated: 2024-03-26",2022-10,"This boolean constraint, when enforced, turns off Google Cloud Marketplace for all users under the organization. By default, public marketplace access is turned on for the organization. This policy only works when the Private Marketplace is enabled (https://cloud.google.com/marketplace/docs/governance/enable-private-marketplace).Important: For the most optimal experience, we strongly recommend that you use the marketplace user access restrictions feature, as described in https://cloud.google.com/marketplace/docs/governance/strict-user-access to prevent unauthorized use of the marketplace in your organization, instead of doing so via this organization policy.",Could have,,,,commerceorggovernance.disablePublicMarketplace,
Networking,,,,,,,,,,
Disable All IPv6 usage,Boolean,"
True, False
Manually updated: 2024-03-26",2021-04,"This boolean constraint, when set to True, disables the creation of or update to any Google Compute Engine resources involved in IPv6 usage. By default, anyone with appropriate Cloud IAM permissions can create or update Google Compute Engine resources with IPv6 usage in any projects, folders, and organizations. If set, this constraint will have higher priority than other IPv6 org constraints including disableVpcInternalIpv6, disableVpcExternalIpv6, and disableHybridCloudIpv6.",Could have,,,,compute.disableAllIpv6,
Disable Hybrid Cloud IPv6 usage,Boolean,"
True, False
Manually updated: 2024-03-26",2022-02,"This boolean constraint, when enforced, disables the creation of, or updates to, hybrid cloud resources including Interconnect Attachments and Cloud VPN gateways with a stack\_type of IPV4\_IPV6 or IPV6\_ONLY, or a gatewayIpVersion of IPv6. If enforced on a Cloud Router resource, the ability to create IPv6 Border Gateway Protocol (BGP) sessions and the ability to enable IPv6 route exchange over IPv4 BGP sessions are disabled. By default, anyone with appropriate Cloud IAM permissions can create or update hybrid cloud resources with stack\_type of IPV4\_IPV6 in projects, folders, and organizations.",Could have,,,,compute.disableHybridCloudIpv6,
Disable Internet Network Endpoint Groups,Boolean,"
True, False
Manually updated: 2024-03-26",2020-02,"This boolean constraint restricts whether a user can create Internet Network Endpoint Groups (NEG) with a type of INTERNET\_FQDN\_PORT and INTERNET\_IP\_PORT.By default, any user with appropriate IAM permissions can create Internet NEGs in any project.",Could have,,,,compute.disableInternetNetworkEndpointGroup,
Disable VPC External IPv6 usage,Boolean,"
True, False
Manually updated: 2024-03-26",2021-04,"This boolean constraint, when set to True, disables the creation of or update to subnetworks with a stack\_type of IPV4\_IPV6 and ipv6\_access\_type of EXTERNAL. By default, anyone with appropriate Cloud IAM permissions can create or update subnetworks with stack\_type of IPV4\_IPV6 in any projects, folders, and organizations.",Could have,,,,compute.disableVpcExternalIpv6,
Disable VPC Internal IPv6 usage,Boolean,"
True, False
Manually updated: 2024-03-26",2021-04,"This boolean constraint, when set to True, disables the creation of or update to subnetworks with a stack\_type of IPV4\_IPV6 and ipv6\_access\_type of INTERNAL. By default, anyone with appropriate Cloud IAM permissions can create or update subnetworks with stack\_type of IPV4\_IPV6 in any projects, folders, and organizations.",Could have,,,,compute.disableVpcInternalIpv6,
Require predefined policies for VPC flow logs,List,,2021-08,"This list constraint defines the set of predefined policies that can be enforced for VPC Flow logs.By default VPC Flow logs may be configured with any settings in each subnet.This constraint enforces enabling flow logs for all subnetworks in scope with a required minimum sampling rate.Specify one or more of the following valid values:[ESSENTIAL (allows values >= 0.1 and < 0.5), LIGHT (allows values >= 0.5 and < 1.0), COMPREHENSIVE (allows values == 1.0)]. ",Could have,,,,compute.requireVpcFlowLogs,
Restrict Cloud NAT usage,List,,2020-03,"This list constraint defines the set of subnetworks that are allowed to use Cloud NAT. By default, all subnetworks are allowed to use Cloud NAT. The allowed/denied list of subnetworks must be identified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/regions/REGION\_NAME/subnetworks/SUBNETWORK\_NAME.",Could have,,,,compute.restrictCloudNATUsage,
Restrict Dedicated Interconnect usage,List,,2020-03,"This list constraint defines the set of Compute Engine networks that are allowed to use Dedicated Interconnect. By default, networks are allowed to use any type of Interconnect. The allowed/denied list of networks must be identified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/global/networks/NETWORK\_NAME.",Should have,"
Set this to the project that hosts your Cloud Interconnects and prevent creation of them
in other projects.
",,,compute.restrictDedicatedInterconnectUsage,
Restrict Partner Interconnect usage,List,,2020-03,"This list constraint defines the set of Compute Engine networks that are allowed to use Partner Interconnect. By default, networks are allowed to use any type of Interconnect. The allowed/denied list of networks must be identified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/global/networks/NETWORK\_NAME.",Should have,"
Set this to the project that hosts your Cloud Interconnects and prevent creation of them
in other projects.
",,,compute.restrictPartnerInterconnectUsage,
Restrict the use of protocol forwarding,List,"
INTERNAL, EXTERNAL
Manually updated: 2024-03-26",2020-03,"This list constraint defines the type of protocol forwarding rule objects with target instance that a user can create. When this constraint is enforced, new forwarding rule objects with target instance are limited to internal and/or external IP addresses, based on the types specified. The types to be allowed or denied must be listed explicitly. By default, creation of both internal and external protocol forwarding rule objects with target instance are allowed. The list of allowed or denied values can only include values from the list below: [INTERNAL, EXTERNAL]. .",Could have,"
For the projects requiring only internal exposure, set the value to INTERNAL.
",,,compute.restrictProtocolForwardingCreationForTypes,
Restrict VPC peering usage,List,"
List of Org/Folder/Project IDs
Manually updated: 2022-09-12",2018-08,"This list constraint defines the set of VPC networks that are allowed to be peered with the VPC networks belonging to this project, folder, or organization. Each peering end is required to have peering permission. By default, a Network Admin for one network can peer with any other network. The allowed/denied list of networks must be identified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, or projects/PROJECT\_ID/global/networks/NETWORK\_NAME.",Should have,"
Peerings are to be used with parsimony as you will share limits and quotas of all the peered networks.
Enforce at org level and manage allowlist of approved VPC networks.

If you will have a central networking team/factory team, there is no need to enable this since the business units
won't have the privileges to manage the network and so create peerings. If it's decentralized,
identify the networks that are critical and restrict this policy on those - for example for shared VPC.
","
In order to use this policy in conjunction with private service access, it has to allow the peering to the service
provider network (e.g. projects/be4f092b1b0e0f3c8p-tp/global/networks/servicenetworking)
",,compute.restrictVpcPeering,"
Managed services cause grief with VPC peerings, but it's possible to whitelist entire google.com organization.
However, see: b/154091409
"
Restrict VPN Peer IPs,List,,2018-10,"This list constraint defines the set of valid IP addresses that can be configured as VPN peer IPs. By default, any IP can be a VPN peer IP for a VPC network. The allowed/denied list of IP addresses must be specified as valid IP addresses in the form: IP\_V4\_ADDRESS or IP\_V6\_ADDRESS.",Should have,,,,compute.restrictVpnPeerIPs,
Skip default network creation,Boolean,"
True, False
Manually updated: 2024-03-26",2018-06,"This boolean constraint skips the creation of the default network and related resources during Google Cloud Platform Project resource creation where this constraint is set to True. By default, a default network and supporting resources are automatically created when creating a Project resource.",Must have,"
Enable at the organisation level to avoid Default Networks and open firewall rules from being created.
This policy is strongly advised.
",,,compute.skipDefaultNetworkCreation,
Restrict Shared VPC Backend Services,List,Manually updated: 2022-09-12,2022-09,"This list constraint defines the set of shared VPC Backend Services that eligible resources can use. This constraint does not apply to resources within the same project. By default, eligible resources can use any shared VPC Backend Services. The allowed/denied list of Backend Services must be specified in the form: under:organizations/ORGANIZATION\_ID, under:folders/FOLDER\_ID, under:projects/PROJECT\_ID, projects/PROJECT\_ID/regions/REGION/backendServices/BACKEND\_SERVICE\_NAME or projects/PROJECT\_ID/global/backendServices/BACKEND\_SERVICE\_NAME. This constraint is not retroactive.",,,,,compute.restrictSharedVpcBackendServices,
Allowed VLAN Attachment encryption settings,List,,2022-12,"This list constraint defines the allowed encryption settings for new VLAN Attachments. By default, VLAN Attachments are allowed to use any encryption settings. Set IPSEC as the allowed value to enforce creating encrypted VLAN attachments only.",Could have,,,,compute.allowedVlanAttachmentEncryption,
Restricts the use of protocol forwarding,Boolean,"
True, False
Manually updated: 2025-01-10",2025-01,"This constraint lets you restrict the types of protocol forwarding deployments (internal or external) that can be created in your organization. To configure the constraint, you specify an allowlist of the type of protocol forwarding deployment to be allowed. The allowlist can only include the following values: [INTERNAL, EXTERNAL]. . For example, if the allowlist is set to INTERNAL, your users can only set up internal protocol forwarding. That is, any forwarding rules associated with target instances are restricted to the INTERNAL load balancing scheme and must use only internal IP addresses.",Should have,"
Set this by default for projects and make exceptions for projects requiring external network surface.
",,,compute.managed.restrictProtocolForwardingCreationForTypes,
Platform,,,,,,,,,,
Domain restricted contacts,List,"
List of domains allowed
Manually updated: 2022-09-12",2020-12,"This list constraint defines the set of domains that email addresses added to Essential Contacts can have. By default, email addresses with any domain can be added to Essential Contacts. The allowed/denied list must specify one or more domains of the form @example.com. If this constraint is active and configured with allowed values, only email addresses with a suffix matching one of the entries from the list of allowed domains can be added in Essential Contacts.This constraint has no effect on updating or removing existing contacts.",Must have,,"
As with Domain Restricted Sharing, it's recommended to only allow your own (or partner's) domains as Essential Contacts.
",,essentialcontacts.allowedContactDomains,
Google Cloud Platform - Detailed Audit Logging Mode,Boolean,"
True, False
Manually updated: 2024-03-26",2020-02,"When Detailed Audit Logging Mode is enforced, both the request and response are included in Cloud Audit Logs. Changes to this feature may take up to 10 minutes to reflect. This Org Policy is highly encouraged in coordination with Bucket Lock when seeking compliances such as SEC Rule 17a-4(f), CFTC Rule 1.31(c)-(d), and FINRA Rule 4511(c). This policy is currently only supported in Cloud Storage.",Could have,"
Unless you are under the specific compliance rulings mentioned in the description, leave unset.
",,,gcp.detailedAuditLoggingMode,
Disable Cloud Logging for Cloud Healthcare API,Boolean,"
True, False
Manually updated: 2024-03-26",2020-03,"This boolean constraint, when enforced, disables Cloud Logging for the Cloud Healthcare API. Audit logs aren't affected by this constraint. Cloud Logs generated for the Cloud Healthcare API before the constraint is enforced are not deleted and can still be accessed. ",Could have,,,,gcp.disableCloudLogging,
